lemma	docs	occurrences
правдоподобие	407	580
рассматривать	10095	25278
умиротворенный	441	549
субординация	342	483
задирала	273	309
чужбина	873	1415
дешево	4633	7792
глупый	7349	30480
четко	5000	8819
огнестрельный	763	1205
безлюдье	475	613
бусинка	246	343
утеплить	246	318
пытаться	16556	53328
трусики	467	898
действующий	8346	16311
перекатывать	238	287
стафилококк	73	168
КПСС	1788	6070
отчитать	306	358
российский	21586	89268
провалиться	3535	6914
культурный	7880	24487
перелесок	616	1213
докладной	586	1035
публицистический	600	931
задолженность	1126	2496
пахота	394	713
самолетик	169	260
донесение	1808	5391
барыня	1930	10490
запоминать	1373	2158
разнос	432	655
непростой	3077	4441
рэкетир	123	179
придаток	435	1088
граненый	710	967
гурьба	701	981
первокурсник	252	355
увидеться	2153	4175
универсал	329	597
распахивать	728	954
понос	522	848
дилемма	557	731
треснуть	1519	2440
структурный	1910	4699
рубрика	1539	2308
низкий	18166	61221
оптимистический	938	1292
канберра	37	85
анальгин	116	184
лишаться	1527	2121
причмокнуть	140	169
расчистить	1070	1425
страховать	410	635
выдавить	1167	1926
столб	4742	13582
челка	538	891
весело	7319	30464
компартия	763	1950
заглянуть	5572	14759
упаковка	1453	2673
угрожать	5279	10570
гротескный	253	415
авторитет	4538	10363
кадет	1009	4124
политология	114	187
крякнуть	1120	1939
генератор	916	2094
высококачественный	681	850
рулон	467	798
виноватость	117	139
постреливать	230	320
геодезический	181	351
застудить	204	246
пресня	372	714
глубочайший	2025	3164
сентябрьский	790	1070
цокать	393	510
приободриться	408	491
спадать	1026	1337
обуховский	207	358
медпункт	261	484
меняться	7790	15021
подскакивать	734	986
гусек	661	1232
заместить	615	866
добролюбов	449	1806
ревень	105	169
какой-нибудь	13490	66975
малец	535	1045
немигающий	383	515
незабываемый	1210	1791
ухудшить	375	417
сотенный	3094	4784
перелет	1214	2262
слаженно	211	243
стройка	2148	4751
сигать	181	227
кубанский	835	3284
беллетрист	557	1010
большущий	515	783
самогон	598	1608
лотерейный	213	295
немножечко	447	671
агнец	456	891
светляк	192	265
вычитывать	333	429
предубеждение	824	1195
обольстить	418	665
яблонька	154	336
улюлюкать	167	184
затруднять	1620	2143
водить машину		
гидрокортизон	9	11
шейх	353	1503
краснофлотец	103	276
покатываться	280	350
призовой	483	655
распаковать	192	210
схоронить	876	1402
санитарка	369	976
ринуться	1915	3540
непрерывно	2987	5246
негласно	248	288
аул	527	2689
кунин	39	142
корейский	829	2141
немало	8087	17499
восстановление	5108	9856
воск	1398	2570
учащенный	387	501
путч	325	627
мята	627	898
кесарев	273	493
планировка	627	985
целлофановый	277	401
давящий	499	618
Турция	3387	8247
желание	15205	52464
ока	1781	3892
вызывающе	1024	1417
бездонный	1501	2248
злобно	1824	3760
грудина	98	210
иронизировать	685	873
пленять	746	1131
дрейф	298	691
создание	15109	38053
буддист	360	730
раздумье	2662	5140
призвать	6803	13104
отряхивать	372	472
противоестественный	826	1158
отступиться	821	1207
тюлень	494	1416
дедка	212	435
килька	276	551
концентрированный	630	1024
гаер	58	105
индикатор	749	1562
каша	3341	9109
недалекий	6349	14749
воспоминание	8738	32052
умориться	179	258
педиатр	198	350
ковшовый	16	305
влксм	561	1199
военкомат	506	1075
смазать	1339	2017
редакторский	371	622
осинник	201	364
фазан	311	900
народить	231	288
сухой	10135	36833
пристрелить	634	1003
мексиканец	194	430
выписка	1674	3090
прочистить	374	442
попятный	343	400
телепатический	107	171
квадратик	532	821
библия	1794	4359
головка	3397	8254
мотыль	79	190
взволноваться	725	992
морковный	248	348
учитель	9116	41875
мафиозный	152	214
недоумение	4551	10410
принюхаться	211	251
высокотехнологичный	492	698
вождение	449	669
колыбельный	419	598
глушков	91	247
вечность	2889	6787
перейти	16347	54843
грузно	829	1232
скрип	1874	3350
давно	20792	89297
здравие	1528	2730
или	54496	704714
разочарование	2961	5218
придать	4628	8381
тринадцать	2160	3665
темнота	6005	23124
прикатить	480	626
рада	4664	12968
чукча	284	1630
раскалить	2456	4434
разбить	8247	22931
дорожить	2246	3886
вмешиваться	2956	4990
невский	2802	8145
обоюдный	1141	1621
надорваться	418	504
влиться	821	976
близорукий	1248	1931
небезразличный	260	298
обретаться	771	1459
рубеж	6001	14233
стеречь	1178	1954
искорка	720	1136
написание	1506	2177
подоить	174	251
несогласный	834	1247
парковый	354	505
глубоководный	309	637
высадить	1512	2313
грозненский	154	237
доходчиво	247	277
костяк	524	1002
треть	6255	11221
насос	1254	3056
опушка	1507	3586
населять	1404	1999
сипло	371	547
посредством	3888	8984
продюсер	698	1641
пригорюниться	368	466
ушат	414	573
забурлить	205	240
рядовой	3727	7778
шаль	1351	3062
информированный	227	271
согласоваться	1097	1524
окапываться	130	212
парикмахерша	114	249
егерь	465	1915
вплетаться	285	354
раскинуться	1582	2515
отхватить	445	526
жулье	154	221
литавра	291	488
черепок	563	1076
проскакать	522	764
географ	527	1514
осчастливить	983	1363
уловить	2797	5281
масонство	178	1109
альбинос	134	205
оптимист	727	1042
мошенничество	1001	1451
обучение	4624	12719
ресторанчик	581	1008
Торонто	182	327
пойти	23680	222438
перестрелка	1558	2724
оправдаться	2182	3143
трахнуть	343	563
сопровождаться	3897	6387
листовой	576	931
кособокий	235	294
стабилизироваться	345	422
ноющий	454	586
налицо	2494	3978
розетка	630	980
риза	1307	2767
подстилка	645	1021
возбуждаться	743	1032
жалостливый	813	1105
репетировать	861	2187
ежиться	753	1049
общественник	257	373
болтовня	1889	3324
хвастаться	1479	2413
повертеться	235	296
зов	2372	4171
мгновение	5205	18599
смелость	3431	6287
невыезд	244	360
карабкаться	1098	1648
дитя	20759	143491
па	1373	2662
кипятить	597	812
грузовик	2173	6538
сдобный	497	663
зорька	311	616
отмель	758	1587
ваучерный	41	57
нашить	426	518
заспешить	391	574
пылить	364	478
наведываться	668	857
гибкий	3005	4902
пепельный	659	1024
разрыть	429	551
поумнеть	557	731
шарм	311	416
вечнозеленый	303	429
аэроплан	2009	4538
Португалия	814	1392
мансарда	335	598
еженедельник	467	738
телячий	623	892
талантливо	576	751
минутный	1736	2667
зенки	139	183
крупнокалиберный	204	275
богословие	833	3140
заронить	256	301
отель	2083	7033
рябь	739	1070
сито	571	866
залечь	950	1621
лишний	9823	24652
баланс	2309	4188
потешаться	651	879
модернизированный	367	485
брикет	169	245
антиквар	174	344
взрывчатый	802	1388
духовность	790	1570
серко	80	238
белорус	458	719
спозаранку	325	400
миледи	78	263
бредовый	660	1480
беззаботность	409	487
росомаха	112	279
христианин	3272	16520
особливо	1557	4947
залп	2007	4297
оплыть	366	458
скрутить	1271	1957
спина	9576	50946
удар	10843	42487
тетрадный	171	214
отрывочный	1009	1410
ощутить	3417	7489
недюжинный	563	691
родовой	1736	3965
хищно	352	481
рост	14956	49359
объятие	3286	7574
гетто	309	823
океан	5515	18292
предсказание	1791	3129
изощренный	1130	1585
внушить	2359	4304
разнять	269	306
спокойствие	4906	11590
вульгарный	1082	1742
слинять	285	367
лепта	680	814
плодородный	795	1235
регенерация	214	373
первоисточник	612	894
численный	829	1323
камчатский	382	855
венец	2421	5482
халва	217	352
вдохновитель	605	756
блуждание	493	628
корректор	375	600
удивленный	4014	11440
стерин	11	40
пожимать	2362	4849
парировать	578	778
дерзить	1490	2258
копна	825	1438
колокольня	1838	4740
выгравировать	304	350
чердачный	281	467
аббревиатура	419	550
трель	698	961
годовалый	406	500
хреновина	138	181
вливание	308	413
предрекать	509	615
краюшкин	16	60
вентиль	218	649
Америка	9158	28159
тряхнуть	1482	2831
инъекция	407	757
несбывшийся	324	393
безумный	4927	12700
согласиться	12151	45046
бидон	412	792
гной	371	573
лейтенант	2380	16550
протопоп	573	2006
амнистировать	186	246
оконный	1513	2390
помидор	1295	2898
стесняться	3934	8508
верфь	490	1266
булькнуть	157	190
подвергать	2492	3725
изводить	698	939
поддавать	244	318
фигурировать	1540	2268
проесть	812	1150
бдительно	269	338
непоколебимый	1510	2127
ряд	31603	148442
мифический	935	1599
беременность	1082	2765
личико	1687	3771
совместимый	627	782
семинарий	1144	5194
путешественник	2779	8646
увалень	251	320
переночевать	1388	2215
цветник	949	1751
впервой	440	630
изломанный	714	943
переложить	1477	2095
зык	128	861
тыл	2410	9601
подержать	1736	2536
невидимый	4947	12448
сабля	1735	6144
метрополитен	509	1097
титул	2310	5024
предусмотреть	4590	11091
бугреев	3	4
бакалдин	2	2
звукооператор	87	153
сумасшествие	1009	1659
орешина	81	176
самостоятельно	4713	7227
деловитость	508	663
прошибить	454	557
пломба	301	461
трудодень	257	621
перестараться	264	302
довольно	18212	80030
каторжный	1431	3476
долбить	888	1421
антипатия	676	952
грейпфрут	73	136
парикмахер	1056	2195
убывать	870	1190
беспокоиться	4406	10867
маскировка	565	1171
ловец	522	1073
затухать	414	541
вольность	1252	2672
Голгофа	530	978
зенитчик	100	188
вдовец	628	927
пьянчужка	156	238
зачесывать	106	126
взнос	1598	3253
постный	1194	2277
чиновничество	486	739
сокрытый	633	908
хлебово	685	1146
тряский	573	763
публицист	1268	2431
голосить	635	953
придраться	818	1018
ягель	66	113
троллейбус	904	2198
конституционный	1782	4910
заурядный	1121	1613
видно	13634	61122
диспансер	235	389
ничейный	293	398
изнывать	806	1051
признанный	3255	4791
кормить	6031	16767
табачный	1856	3371
вычурный	636	816
фрейлина	499	1503
поросль	736	1067
сознавать	4281	11338
евпатория	266	635
отброс	681	949
проноситься	1998	3279
многолюдный	1455	2179
прикусить	690	1008
выливаться	739	882
осторожненький	166	201
близоруко	226	280
ананас	506	1016
глава	16113	64858
плохой	20343	100880
извиваться	1572	2507
худой	13062	53694
мая	10869	33670
самоцвет	218	442
сталкивать	517	619
уравнение	1403	5367
выпадение	445	765
берет	6800	16042
твердыня	541	845
отмыться	232	280
овсянка	290	568
зазывать	740	965
назарет	177	419
истерика	1761	3271
сердечный	5288	12647
восемнадцатилетний	491	625
санный	385	614
мозаика	1054	1699
изучать	7713	16966
вышивать	651	945
главенствовать	473	569
пробуждать	937	1256
засасывать	395	472
смердеть	415	569
буфетчица	305	639
таверна	271	687
отскакивать	711	884
спохватиться	2031	4007
радовать	3530	5399
задерживать	2676	4326
резерв	2551	7427
отодвигать	1000	1265
мантия	960	2071
днепропетровск	330	644
отстраненность	164	184
перелить	429	523
пуговка	670	1098
сохраниться	6812	15568
локализация	414	858
позабавить	319	384
познавательный	717	2006
завсегдатай	667	998
неунывающий	216	247
несложный	2011	2589
обеспокоить	1482	2034
подчеркивать	4232	7704
выжить	3340	5969
несмываемый	238	262
добраться	5525	14283
отлупить	117	151
катафалк	313	516
пришпилить	264	316
спирин	95	481
обновить	2078	2704
поголовно	935	1219
лепиться	539	750
заречный	314	885
чтение	7649	24485
умный	9309	38500
порода	4622	14411
техасский	143	190
дружественный	1697	2644
удалый	951	1867
жутко	2509	4848
космополитизм	348	631
пряник	1213	2514
праздновать	2855	4576
валторна	114	161
фи	391	653
дистрофия	133	226
кибернетик	400	819
Грузия	1714	5080
ошибочный	2496	3937
повизгивать	407	533
снимать	8494	23913
шутка	6976	20986
проповедник	1423	3514
лаос	99	158
мент	596	2742
телодвижение	491	616
засвистеть	17	26
поимка	643	975
зал	11501	57514
отринуть	406	523
верткий	203	281
априорный	285	1013
гроза	3375	8338
пограничник	764	1904
щуплый	467	632
закрытие	2370	3601
проржаветь	254	297
истребитель	1000	4336
ловиться	427	700
восстановительный	482	785
снаряжать	444	542
эшафот	484	1046
философ	3960	13217
прислуга	2656	7530
нейтральный	1952	3423
любушка	87	227
слить	2841	5020
отвергнуть	3180	5851
анатомический	715	1574
сотворение	748	1230
окрашиваться	386	507
середина	9838	22863
видение	3559	8826
салазки	377	744
размеренный	1145	1592
порошок	2435	5225
любить	23078	209919
тискать	414	570
казначейство	842	1527
несокрушимый	847	1106
свидетельствующий	1168	1514
наименование	2228	4430
сготовить	208	298
ковылять	661	874
гастролер	287	471
собирать	9301	22376
пудовый	555	855
громогласно	613	815
волокита	648	914
типографский	797	1130
нарвал	169	208
разыграть	1449	2016
вериться	1964	2981
проработать	2180	3123
постоялец	650	1217
подземелье	961	2321
мыший	364	442
происки	764	1087
космы	528	773
решение	22094	78043
окуляр	228	375
консульство	785	1643
ординарный	480	718
мистический	2269	5626
чеченец	877	3244
каменеть	470	1105
сероводород	183	332
размещать	921	1114
целить	909	2042
воздавать	546	735
громада	1408	2458
рис	2519	17807
мумия	643	1168
зарываться	617	810
туман	5501	19800
земский	2663	12304
деканат	170	308
оправдательный	466	697
луговой	630	1599
колотило	575	758
рубать	150	252
ишак	240	494
единомышленник	1531	2486
возвращение	7431	19331
генеральный	6458	15324
раскрошить	124	141
эфедрин	43	76
тын	262	685
мягко	4770	10860
красота	9525	34834
романтический	2736	5512
будить	3187	6390
обзавестись	1458	1887
дюйм	786	1876
проход	3405	8404
выучиться	1506	2588
конфиденциальный	633	952
яблочник	154	247
плотина	1584	4671
систематический	2929	5191
дух	15403	81982
жесткий диск		
неумеренный	651	853
модем	109	183
кедровка	43	99
инсценировка	556	889
выметаться	106	134
разрывать	1855	2650
стопроцентный	922	1273
вделать	477	635
критиковать	2175	3578
живописный	2961	6349
изогнуть	1205	2446
вскорости	542	861
напильник	307	473
мяч	1844	5908
рента	503	1219
электричка	1088	2543
веревочка	1211	1971
кислица	61	102
сюртук	1799	5190
известить	2330	4384
мутант	229	413
конец	32101	189247
разделительный	209	312
подвывать	386	502
душный	3240	6803
впятером	239	314
враки	216	317
натягивать	1464	2146
расклеить	453	563
двоиться	448	622
нежданный	1053	1791
бегемот	380	813
безвестный	965	1511
письменность	618	1266
герпес	93	397
противоречивый	2024	3166
скорпион	624	1402
составлять	18472	54460
квалифицированный	1935	2832
противно	2946	5861
первооткрыватель	448	563
зверюшка	163	208
ниточка	1328	2260
смотреть	25482	216473
совестный	1707	3613
осветительный	370	568
простейший	1957	3192
объединенный	10	10
тонконогий	259	349
бумажник	1202	2856
обмелеть	261	333
символика	831	1805
доскональный	690	854
обезболивать	246	339
платиновый	351	688
мышление	3045	12429
подниматься	8178	27208
эволюция	2663	7498
опекать	670	928
удержание	810	1221
гэс	525	1419
шепнуть	2410	7078
отпущение	539	741
моторист	200	513
отстрелить	92	108
вилять	827	1177
безгласный	438	621
смертоносный	813	1279
маленько	999	2484
разжать	745	1077
многочисленный	9990	20772
федеральный	6370	21395
костлявый	1131	1995
улан	411	1478
наваристый	107	123
ессентуки	160	293
треснутый	154	197
ивняк	260	443
прикидываться	914	1320
злой	9788	39665
разбитной	334	538
грех	7251	31517
факультетский	145	225
недоброжелатель	563	755
зебра	250	393
перепрыгивать	610	758
пресечь	1049	1475
наречие	995	2357
грузинка	166	266
величественный	3283	6618
разнарядка	172	240
расчистка	398	554
голень	432	777
лишь	31299	157849
скиталец	379	620
управление	15508	51930
десятеро	295	351
патефонный	73	84
стегать	452	601
царить	7296	34605
одухотворенный	565	670
фольга	552	877
империалистический	684	1477
помещать	2067	2881
синь	2272	4543
получить	40993	173025
анамнез	101	193
бойница	415	716
икона	3604	15397
упредить	245	352
преподнести	1373	1841
нежность	3476	8362
стягивать	967	1280
накануне	6594	14102
авиаконструктор	145	213
приток	1852	3988
неорганизованный	355	485
затеять	2994	5367
сдуру	633	866
ущелье	1490	5977
колдун	965	2796
выскользнуть	924	1330
расслабление	453	744
котироваться	282	307
печенье	1289	2188
листопад	198	596
фат	391	624
срывать	2139	3246
отбирать	2328	3393
передразнивать	531	688
подставной	456	658
корневище	277	589
сплав	1445	3860
прежний	13100	51619
амуниция	543	851
битюг	150	243
наивность	1656	2530
пучок	2078	4256
перечеркнуть	578	734
нагло	1466	2256
рассол	388	818
клиентка	238	473
осматривать	3485	7408
домысел	525	740
накладка	525	792
цска	281	1401
кредитор	1062	3340
поползти	1715	3129
сеанс	1667	3769
поджелудочный	154	403
огпу	253	701
новехонький	119	153
автобус	3228	10870
щитовидный	136	374
заснуть	4429	12943
кореец	472	1702
ловко	4078	10341
гадание	606	1102
гульба	208	330
четверть	6124	14053
застопорить	160	237
вместе	27755	139226
каспий	432	1019
оккупировать	898	1446
намерен	5661	9767
вдвоем	3720	9654
приплыть	596	910
нечестный	956	1321
срубить	1233	1915
низший	2517	6003
сковородник	51	124
каратист	64	108
защищаться	2133	3495
субмарина	141	355
знаменовать	845	1277
разбрызгивать	272	315
акация	893	1739
зарезать	1970	3790
пушнина	254	493
гурман	349	463
износиться	357	412
современник	3905	10446
изгнание	1857	3271
каменоломня	237	371
блестка	695	939
государев	740	3664
филологический	1084	1904
подсесть	1399	2209
акция	4703	13223
недоедание	346	422
несметный	1167	1740
вдохнуть	1297	1778
идеологический	2596	6832
зеленоглазый	132	209
посейчас	268	349
секундочка	213	302
примак	213	452
затвердить	367	456
заступник	533	735
заразиться	1046	1467
фанк	21	77
вверх	7604	25855
кооперация	1026	2579
вымереть	1309	1974
защитный	2103	4014
заступиться	1193	1836
вакуум	933	1655
утопающий	714	897
хохотать	3562	9948
сани	2272	9028
диспозиция	296	647
шпиль	622	1165
иссык	15	42
попрать	578	714
фея	640	1932
дуреть	154	177
зеркало	6285	21312
печенка	669	1030
взбучка	119	141
манящий	541	671
носильщик	700	1585
чернобыль	270	596
хватить	8446	25536
равнодушие	3023	5696
откатиться	364	476
кулич	400	835
подшутить	380	447
труженица	258	324
застенчивый	1900	3337
топиться	794	1129
порознь	924	1284
блаженно	768	1105
затратить	1247	1638
верста	6183	32175
орудие	5920	22839
Армения	1024	2530
владение	3770	10592
переводчица	461	1070
оперуполномоченный	157	331
ванный	1876	5325
жизнерадостный	1340	2000
поселить	1494	2509
олениха	20	177
апогей	589	749
экология	1113	1748
алтайский	602	1183
биндюжник	54	115
напрашиваться	1431	1786
стайка	878	1541
призывник	305	693
нефть	3549	11968
бордюр	373	575
чегемский	21	203
мышца	2021	7057
серость	405	538
физиология	1135	2454
сверкнуть	1799	3575
увядание	286	345
бечевка	499	741
высмеять	394	494
постигнуть	3484	6469
хамски	64	67
фармазон	72	142
древний	9628	39409
гонококк	23	49
лом	1246	3062
свод	2896	7184
пташка	359	571
поберечь	546	717
скандинавия	342	606
конфуз	650	892
комплектующий	406	634
баталия	728	1198
счастливый	11253	47748
праправнук	93	130
утюг	947	1840
радировать	57	82
ходок	709	1265
внучек	1795	4157
попытать	546	716
окончание	8788	19522
выйти замуж		
локализовать	394	556
ехидство	341	427
чистильщик	198	326
сельпо	174	283
нередкий	6868	19598
железяка	237	318
аккуратность	867	1104
вскоре	10798	39344
зашлепать	205	264
скатерка	88	111
переоценивать	403	497
продвинуться	1516	2113
противостояние	1584	2434
перекричать	415	498
окончить	6593	15099
подивиться	871	1340
аккуратно	4107	8678
любезность	1738	3436
альтернатива	1447	2260
проехаться	540	656
всесторонне	713	863
пересчитывать	760	981
щипец	558	903
ревновать	1662	3349
приписка	927	1452
столбик	1187	2090
блик	890	1442
михайлова	849	2094
чернильница	994	1733
ограниченность	1151	1870
процеживать	137	192
фараон	670	1902
героически	500	597
логичный	2278	3204
гулаг	474	1148
уметь	14141	60646
подать	10744	39759
прописывать	464	568
ют	338	636
переключение	502	878
двойняшка	131	210
дьявольски	303	375
праздный	2266	4169
сократить	4489	6615
плодить	418	467
специфика	1831	2988
сновать	1419	2282
накрывать	1287	1773
помост	812	1830
неудачно	1710	2336
пристальный	4322	10387
количественный	1906	3686
снисходительный	3000	5890
лицемерие	1151	1872
лечение	4068	11334
бахрома	678	989
дунай	1034	4122
задрипать	4	4
представление	12243	40876
духовка	400	831
государь	6091	60570
водопровод	1147	1861
аккуратненький	283	356
пособие	3394	6828
спикер	515	1028
мореплаватель	504	1109
убираться	1741	2802
тик	481	1073
смрадный	578	825
почтительность	531	759
морока	450	779
оправляться	456	558
закваска	449	679
сколь	3131	7403
суверенитет	705	1295
повадиться	490	617
нестерпимый	2529	5056
партнер	4496	9565
платьице	842	1309
астматический	81	93
оглашать	797	1036
волокуша	81	175
выкроить	414	479
разнородный	1180	1901
эндокардит	23	36
восемнадцатый	1083	1897
абалкин	49	340
пиршество	753	1256
перекат	437	911
антисоветчик	167	253
ратовать	748	959
гликозид	37	76
нигде	7016	15863
гатчина	436	1481
неаполь	738	2478
приоритет	1981	3283
волосатый	1176	2083
общественно	14	22
рука	32204	438793
выделывать	983	1365
глохнуть	423	519
завершение	3260	4798
дыба	949	1746
кондиция	374	569
перечисление	1155	1526
канализационный	374	495
герметичный	328	470
путаница	1689	2739
студенистый	186	223
растирание	143	202
марокканский	172	248
швейцар	1388	4441
метеоритный	112	244
снеговой	659	1429
начинающий	2377	3628
бездушный	1135	1639
нощно	388	498
скумбрия	122	211
плаха	630	1313
средневековье	1053	2451
отталкиваться	848	1129
разбор	2995	5452
тральщик	94	327
внушительный	2426	4262
твердь	523	825
черепаший	250	299
тяжеловесный	647	846
ошейник	504	988
сожительница	371	641
жалобно	1973	3855
умывать	367	439
норковый	143	221
слезливый	623	843
кубический	716	1155
вратарь	316	714
спеть	2380	5140
противопоказание	187	283
орудовать	1094	1645
растерять	1234	1620
уклончиво	887	1330
жокей	175	290
чета	1776	2840
драть	1750	3489
родич	530	1172
чепчик	468	832
сука	1699	4363
допрос	2823	9045
нива	1804	3423
оплавить	136	163
катапульта	141	245
обезобразить	756	989
угрызение	887	1263
уговорить	2959	5955
походный	1565	3591
подобреть	275	332
шажок	673	975
бацилла	296	543
масло	6585	21434
опускаться	3906	7315
потроха	516	784
трезветь	189	221
размножение	1074	2465
анестезия	212	388
натужно	307	398
расстилаться	1077	1721
харчо	41	95
работящий	635	828
поминальный	372	555
числить	916	1302
официальный	11444	26582
реноме	141	182
роптать	1221	2025
вываливаться	593	724
выше	16386	53936
лазутчик	317	766
боец	2944	12223
золотушный	200	261
станица	1169	6880
просыпаться	3701	7320
пересекаться	1025	1455
шкалик	196	440
загрязнение	1023	2575
сигнальный	902	1612
втереться	307	369
бесстыдство	577	797
рано	20443	85505
разложить	2896	5075
высокооплачиваемый	267	299
невдалеке	1132	1991
погружение	1052	2359
вазочка	475	713
передел	850	1527
облюбовать	745	920
втиснуть	695	834
правопорядок	497	874
тарасюк	19	208
разыскать	2365	4756
ходатайство	2541	4994
унижать	1534	2196
бесчинствовать	299	349
сбор	7125	17061
кальмар	125	467
тематический	907	1466
чинить	2258	4446
развращать	685	900
налог	4501	14932
обрызгать	11	13
порт	4337	14233
дизайн	1408	2713
эскимо	96	160
хром	465	866
пристать	3716	10342
неопасный	388	436
хриплый	2457	5888
юридически	791	1011
симпатично	257	322
префект	331	876
коммунистический	3352	9934
шмаков	147	745
распространиться	2412	3722
понимать	21344	155418
круговой	1385	2230
невыразимый	1446	2512
стенокардия	110	152
зависимый	1258	1869
дымчатый	641	972
гаечный	161	206
своеобразие	968	1733
пререкаться	130	138
попойка	578	899
всунуть	576	761
подрядиться	183	224
одолеть	2546	4298
интерес	19298	63046
проститутка	1392	3310
столовка	271	522
Казань	2075	5932
выгнуть	640	866
запечь	312	402
париться	536	843
наслышаться	337	416
завязывать	1001	1314
запрокинуть	770	1192
зато	12625	37183
ничегошеньки	242	302
горемычный	367	567
барк	652	2676
пампа	33	86
уняться	567	875
пролив	1388	4343
оступиться	729	946
лектор	976	2114
контрреволюция	543	1478
комфортно	550	644
дядюшка	895	4121
сопротивляться	2845	4940
напоминать	11858	32021
плотоядный	399	554
штат	6513	14994
телеканал	837	1277
убеждать	4076	7934
афинянин	156	586
тысяча	24006	103516
монах	2969	14720
непринужденный	1477	2205
световой	1910	4408
свертывать	422	538
двадцатка	231	355
абонент	618	1558
оренбург	588	1630
зарасти	2885	6715
Овен	268	464
поскрипывать	622	896
оливье	258	445
сдавливать	368	432
смять	1647	2734
двигательный	516	1652
закрепляться	591	825
горнолыжный	197	360
юркнуть	802	1175
выпасть	4828	9232
древо	1145	2349
блеснуть	2559	4957
тревожить	3104	5848
расправлять	676	849
лесоруб	243	475
чутье	1930	3354
рискованный	2068	3169
автоматный	344	607
лазерный	707	1458
мясоед	183	415
углевод	349	776
остекленеть	242	292
пожилой	4818	12437
брокер	205	489
зреть	6353	16934
ничей	1741	2791
порядочный	4500	12517
пододвинуть	500	744
слепой	5408	15179
перевязь	345	526
сослаться	3344	5470
софит	134	184
разогрев	187	226
творчество	7064	24836
штаб	4986	28393
вытеснение	458	760
отчетливо	4308	9336
существенный	10266	24324
предыстория	376	467
укрытый	793	1218
ловелас	231	296
пашня	1118	2868
клерк	392	830
неуважительный	266	310
сударь	1059	6372
уксус	894	1958
вахтерша	108	216
талый	756	1373
завораживать	776	1013
щупальце	535	1040
мертвечина	293	350
пьяница	2420	4986
уравнять	517	647
сыроватый	321	419
канатоходец	104	153
подвижность	877	1370
насадить	1036	1419
тужить	600	876
выживать	1071	1399
уезд	4516	12707
понюхать	1329	2175
бричкин	6	36
религиозный	5692	26051
мгновенно	4565	11734
гуманный	1480	2434
тюбик	354	621
лиственный	500	862
надорвать	734	941
суббота	4421	12686
абориген	632	1151
обжорство	283	378
переиначивать	162	180
воздеть	421	577
Тегеран	751	1827
подыматься	2220	5991
мемориальный	633	969
оркестр	3735	10689
монашка	413	1006
турбина	718	2342
полярный	1970	5336
деформация	657	1896
бельгийский	1197	1904
персонально	426	572
красноглазый	79	128
карантин	550	1331
глумиться	565	767
няня	1289	5607
вызывающий	3113	4938
налететь	2053	3550
археология	567	1185
брежневский	313	536
греча	439	1552
вонзаться	404	499
вогнутый	342	572
нажать	2110	4590
орт	351	664
точило	407	575
обыденный	2134	3668
покровительственный	628	866
посягательство	823	1113
разбег	922	1318
возобновить	2158	3324
смоленск	1308	3879
балканы	771	1593
подкожный	253	473
незаурядный	1009	1474
смолить	177	232
беспорядок	4015	8209
шип	882	1811
вспрыгнуть	322	414
увеличить	6311	9669
допустимый	4459	8655
килограммовый	151	168
выбить	3397	6121
безответственный	909	1295
изменчивый	778	1291
додуматься	1181	1652
еж	1341	3503
освоить	2581	3685
эволюционный	790	1809
привязать	4308	8944
констатация	380	477
зритель	6985	21300
миролюбивый	1170	1713
акцентировать	469	671
обезьяна	2070	5961
ошеломлять	969	1255
колебаться	4615	8828
шизофреник	205	606
суммарный	1250	1997
максимальный	6397	11359
спиртной	1536	2775
эмульсия	294	692
западноевропейский	910	1655
жульничество	217	271
термит	87	224
отдавить	202	228
геройски	320	381
зарецкий	50	574
пал	2751	6154
толмач	192	698
посинеть	882	1201
бронежилет	178	376
тетрациклин	30	75
признать	14716	41248
подходить	13449	45784
сиротина	37	201
натяжка	727	928
хрестоматийный	411	504
отвыкнуть	1349	1917
захворать	740	1272
голенище	899	1507
Волга	3925	14772
равно	15400	60867
поздравительный	626	816
позаботиться	2370	3588
александрия	522	1380
подсобить	231	328
пудрить	234	268
копытце	250	374
собачий	2951	6714
освежиться	497	597
сочиться	961	1440
придержать	728	1018
сразу	21685	113902
обмолвиться	917	1237
некроз	81	138
лицезреть	305	356
гарнизонный	443	859
примешиваться	689	862
забыть	15583	75991
миномет	395	2243
восставать	1272	2043
подозрение	4281	9921
западногерманский	239	351
оцепенение	1199	1859
соучастник	823	1099
постановка	5426	13128
потапенко	121	542
хариус	120	369
разнообразие	3607	6393
впредь	3307	5971
подлюга	88	109
помотать	518	864
смириться	2058	3202
подстелить	11	11
послужной	373	451
апофеоз	649	891
оттуда	8929	29566
пьянить	510	636
попомнить	293	411
препарировать	249	313
Новороссийск	655	1718
лежак	123	218
проползать	209	243
волость	1216	4374
поселиться	3919	8474
регламентировать	879	1200
француз	5271	22265
дрозофила	92	218
уток	1936	5936
косой	4271	13195
нарастать	2607	4387
неустанно	1208	1662
избитый	1593	2331
надсадно	163	207
этнос	325	1031
без	44010	343988
подыграть	168	196
скрадывать	260	367
самолюбивый	1007	1615
натощак	292	344
оплот	892	1197
извлекаться	368	487
юго-восточный	1303	2217
завиток	713	1081
вкусненький	155	208
