Verb,WindowSize,из + GEN,о/об + LOC,от + GEN,в/во + LOC,между + INST,в/во + ACC,на + LOC,о/об + ACC,с/со + INST,на + ACC,к + DAT,за + ACC,сквозь + ACC,про + ACC,за + INST,насчет + GEN,по + DAT,до + GEN,перед + INST,у + GEN,с/со + GEN,вокруг + GEN,через + ACC,кроме + GEN,для + GEN,при + LOC,без + GEN,после + GEN,прежде + GEN,возле + GEN,над + INST,в/во + GEN,под + INST,среди + GEN,согласно + DAT,из-за + GEN,ради + GEN,вопреки + DAT,под + ACC,против + GEN,помимо + GEN,около + GEN,по + ACC,с/со + ACC,вместо + GEN,ко + DAT,мимо + GEN,в/во + NOM,за + NOM,впереди + GEN,на + GEN,вне + GEN,благодаря + DAT,вроде + GEN,посреди + GEN,накануне + GEN,вдоль + GEN,изо + GEN,внутри + GEN,относительно + GEN,из-под + GEN,на + NOM,путем + GEN,NOM,DAT,GEN,ACC,INFINITIVE,LOC,INST,", что"
вспоминать,-3,0,5,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
захотеться,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
посидеть,-3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
сойти,-3,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
читать,-3,0,2,0,4,0,4,0,0,0,1,1,0,0,1,0,0,2,1,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
представить,-3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
сидеть,-3,1,0,0,15,0,5,12,0,3,1,1,1,0,0,2,0,0,3,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
заснуть,-3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
удаваться,-3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
проснуться,-3,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
